1999	212	1999	Prince	1982
a_change_is_gonna_come	12	A Change Is Gonna Come	Sam Cooke	1964
a_day_in_the_life	26	A Day in the Life	The Beatles	1967
all_apologies	455	All Apologies	Nirvana	1993
anarchy_in_the_uk	53	Anarchy in the U.K.	Sex Pistols	1977
back_in_black	187	Back in Black	AC/DC	1980
be_my_baby	22	Be My Baby	The Ronettes	1963
billie_jean	58	Billie Jean	Michael Jackson	1983
bitter_sweet_symphony	382	Bitter Sweet Symphony	The Verve	1997
bizarre_love_triangle	201	Bizarre Love Triangle	New Order	1986
blitzkrieg_bop	92	Blitzkrieg Bop	The Ramones	1976
blowin_in_the_wind	14	Blowin' in the Wind	Bob Dylan	1963
blue_suede_shoes_perkins	95	Blue Suede Shoes	Carl Perkins	1956
blueberry_hill	81	Blueberry Hill	Fats Domino	1956
bo_diddley	62	Bo Diddley	Bo Diddley	1955
born_to_run	21	Born to Run	Bruce Springsteen	1975
bridge_over_troubled_water	47	Bridge over Troubled Water	Simon and Garfunkel	1970
bring_the_noise	160	Bring the Noise	Public Enemy	1988
california_love	346	California Love	Dr. Dre and 2Pac	1996
come_as_you_are	445	Come As You Are	Nirvana	1991
enter_sandman	399	Enter Sandman	Metallica	1991
every_breath_you_take	84	Every Breath You Take	The Police	1983
fake_plastic_trees	376	Fake Plastic Trees	Radiohead	1995
fast_car	165	Fast Car	Tracy Chapman	1988
free_fallin	177	Free Fallin'	Tom Petty	1989
god_only_knows	25	God Only Knows	The Beach Boys	1966
good_golly_miss_molly	94	"Good Golly, Miss Molly"	Little Richard	1958
good_vibrations	6	Good Vibrations	The Beach Boys	1966
great_balls_of_fire	96	Great Balls Of Fire	Jerry Lee Lewis	1957
hallelujah	259	Hallelujah	Jeff Buckley	1994
heartbreak_hotel	45	Heartbreak Hotel	Elvis Presley	1956
help	29	Help!	The Beatles	1965
heroes	46	Heroes	David Bowie	1977
hey_jude	8	Hey Jude	The Beatles	1968
hot_stuff	103	Hot Stuff	Donna Summer	1979
hotel_california	49	Hotel California	The Eagles	1976
hound_dog	19	Hound Dog	Elvis Presley	1956
i_believe_i_can_fly	406	I Believe I Can Fly	R. Kelly	1996
i_cant_make_you_love_me	331	I Can't Make You Love Me	Bonnie Raitt	1991
i_still_havent_found_what_im_looking_for	93	I Still Haven't Found What I'm Looking For	U2	1987
i_walk_the_line	30	I Walk the Line	Johnny Cash	1956
